Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Mar 1 2014,7:30p,Orlando Magic,98,Miami Heat,112,Box Score,,19834,
Sat Mar 1 2014,7:30p,Washington Wizards,122,Philadelphia 76ers,103,Box Score,,20856,
Sat Mar 1 2014,8:00p,Indiana Pacers,102,Boston Celtics,97,Box Score,,18624,
Sat Mar 1 2014,8:00p,Detroit Pistons,110,Houston Rockets,118,Box Score,,18330,
Sat Mar 1 2014,8:30p,Brooklyn Nets,107,Milwaukee Bucks,98,Box Score,,14081,
Sat Mar 1 2014,9:00p,Cleveland Cavaliers,96,Memphis Grizzlies,110,Box Score,,17011,
Sat Mar 1 2014,10:00p,Denver Nuggets,96,Portland Trail Blazers,102,Box Score,,20068,
Sat Mar 1 2014,10:00p,Minnesota Timberwolves,108,Sacramento Kings,97,Box Score,,17085,
Sat Mar 1 2014,10:30p,New Orleans Pelicans,76,Los Angeles Clippers,108,Box Score,,19060,
Sun Mar 2 2014,1:00p,New York Knicks,90,Chicago Bulls,109,Box Score,,21739,
Sun Mar 2 2014,4:00p,Golden State Warriors,98,Toronto Raptors,104,Box Score,,18658,
Sun Mar 2 2014,6:00p,Utah Jazz,91,Indiana Pacers,94,Box Score,,18165,
Sun Mar 2 2014,6:00p,Philadelphia 76ers,81,Orlando Magic,92,Box Score,,16704,
Sun Mar 2 2014,7:00p,Charlotte Bobcats,99,Oklahoma City Thunder,116,Box Score,,18203,
Sun Mar 2 2014,7:00p,Dallas Mavericks,106,San Antonio Spurs,112,Box Score,,18581,
Sun Mar 2 2014,8:00p,Atlanta Hawks,120,Phoenix Suns,129,Box Score,,16759,
Mon Mar 3 2014,7:00p,Memphis Grizzlies,110,Washington Wizards,104,Box Score,,14065,
Mon Mar 3 2014,7:30p,Chicago Bulls,80,Brooklyn Nets,96,Box Score,,17732,
Mon Mar 3 2014,7:30p,New York Knicks,85,Detroit Pistons,96,Box Score,,14742,
Mon Mar 3 2014,7:30p,Charlotte Bobcats,107,Miami Heat,124,Box Score,,19727,
Mon Mar 3 2014,8:00p,Utah Jazz,88,Milwaukee Bucks,114,Box Score,,10022,
Mon Mar 3 2014,9:00p,Minnesota Timberwolves,132,Denver Nuggets,128,Box Score,,15240,
Mon Mar 3 2014,10:00p,Los Angeles Lakers,107,Portland Trail Blazers,106,Box Score,,20013,
Mon Mar 3 2014,10:00p,New Orleans Pelicans,89,Sacramento Kings,96,Box Score,,16225,
Tue Mar 4 2014,7:00p,San Antonio Spurs,122,Cleveland Cavaliers,101,Box Score,,17966,
Tue Mar 4 2014,7:00p,Golden State Warriors,98,Indiana Pacers,96,Box Score,,18165,
Tue Mar 4 2014,8:00p,Miami Heat,103,Houston Rockets,106,Box Score,,18523,
Tue Mar 4 2014,8:00p,Philadelphia 76ers,92,Oklahoma City Thunder,125,Box Score,,18203,
Tue Mar 4 2014,9:00p,Los Angeles Clippers,104,Phoenix Suns,96,Box Score,,15068,
Tue Mar 4 2014,10:30p,New Orleans Pelicans,132,Los Angeles Lakers,125,Box Score,,18436,
Wed Mar 5 2014,7:00p,Indiana Pacers,87,Charlotte Bobcats,109,Box Score,,15372,
Wed Mar 5 2014,7:00p,Houston Rockets,101,Orlando Magic,89,Box Score,,16012,
Wed Mar 5 2014,7:00p,Utah Jazz,91,Washington Wizards,104,Box Score,,13911,
Wed Mar 5 2014,7:30p,Golden State Warriors,108,Boston Celtics,88,Box Score,,18155,
Wed Mar 5 2014,7:30p,Memphis Grizzlies,94,Brooklyn Nets,103,Box Score,,17053,
Wed Mar 5 2014,7:30p,Chicago Bulls,105,Detroit Pistons,94,Box Score,,14007,
