Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu May 1 2008,8:00p,Detroit Pistons,100,Philadelphia 76ers,77,Box Score,,14130,
Fri May 2 2008,7:00p,Cleveland Cavaliers,105,Washington Wizards,88,Box Score,,20173,
Fri May 2 2008,8:00p,Boston Celtics,100,Atlanta Hawks,103,Box Score,,20425,
Fri May 2 2008,10:30p,Houston Rockets,91,Utah Jazz,113,Box Score,,19911,
Sat May 3 2008,7:30p,Orlando Magic,72,Detroit Pistons,91,Box Score,,22076,
Sat May 3 2008,10:00p,San Antonio Spurs,82,New Orleans Hornets,101,Box Score,,18040,
Sun May 4 2008,1:00p,Atlanta Hawks,65,Boston Celtics,99,Box Score,,18624,
Sun May 4 2008,4:30p,Utah Jazz,98,Los Angeles Lakers,109,Box Score,,18997,
Mon May 5 2008,7:00p,Orlando Magic,93,Detroit Pistons,100,Box Score,,22076,
Mon May 5 2008,9:30p,San Antonio Spurs,84,New Orleans Hornets,102,Box Score,,17927,
Tue May 6 2008,8:00p,Cleveland Cavaliers,72,Boston Celtics,76,Box Score,,18624,
Wed May 7 2008,8:00p,Detroit Pistons,86,Orlando Magic,111,Box Score,,17519,
Wed May 7 2008,10:30p,Utah Jazz,110,Los Angeles Lakers,120,Box Score,,18997,
Thu May 8 2008,7:00p,Cleveland Cavaliers,73,Boston Celtics,89,Box Score,,18624,
Thu May 8 2008,9:30p,New Orleans Hornets,99,San Antonio Spurs,110,Box Score,,18797,
Fri May 9 2008,9:00p,Los Angeles Lakers,99,Utah Jazz,104,Box Score,,19911,
Sat May 10 2008,5:00p,Detroit Pistons,90,Orlando Magic,89,Box Score,,17519,
Sat May 10 2008,8:00p,Boston Celtics,84,Cleveland Cavaliers,108,Box Score,,20562,
Sun May 11 2008,3:30p,Los Angeles Lakers,115,Utah Jazz,123,Box Score,OT,19911,
Sun May 11 2008,8:00p,New Orleans Hornets,80,San Antonio Spurs,100,Box Score,,18797,
Mon May 12 2008,8:00p,Boston Celtics,77,Cleveland Cavaliers,88,Box Score,,20562,
Tue May 13 2008,7:00p,Orlando Magic,86,Detroit Pistons,91,Box Score,,22076,
Tue May 13 2008,9:30p,San Antonio Spurs,79,New Orleans Hornets,101,Box Score,,18246,
Wed May 14 2008,8:00p,Cleveland Cavaliers,89,Boston Celtics,96,Box Score,,18624,
Wed May 14 2008,10:30p,Utah Jazz,104,Los Angeles Lakers,111,Box Score,,18997,
Thu May 15 2008,9:00p,New Orleans Hornets,80,San Antonio Spurs,99,Box Score,,18797,
Fri May 16 2008,8:00p,Boston Celtics,69,Cleveland Cavaliers,74,Box Score,,20562,
Fri May 16 2008,10:30p,Los Angeles Lakers,108,Utah Jazz,105,Box Score,,19911,
Sun May 18 2008,3:30p,Cleveland Cavaliers,92,Boston Celtics,97,Box Score,,18624,
Mon May 19 2008,8:30p,San Antonio Spurs,91,New Orleans Hornets,82,Box Score,,18235,
Tue May 20 2008,8:30p,Detroit Pistons,79,Boston Celtics,88,Box Score,,18624,
Wed May 21 2008,9:00p,San Antonio Spurs,85,Los Angeles Lakers,89,Box Score,,18997,
Thu May 22 2008,8:30p,Detroit Pistons,103,Boston Celtics,97,Box Score,,18624,
Fri May 23 2008,9:00p,San Antonio Spurs,71,Los Angeles Lakers,101,Box Score,,18997,
Sat May 24 2008,8:30p,Boston Celtics,94,Detroit Pistons,80,Box Score,,22076,
Sun May 25 2008,8:30p,Los Angeles Lakers,84,San Antonio Spurs,103,Box Score,,18797,
Mon May 26 2008,8:30p,Boston Celtics,75,Detroit Pistons,94,Box Score,,22076,
Tue May 27 2008,9:00p,Los Angeles Lakers,93,San Antonio Spurs,91,Box Score,,18797,
Wed May 28 2008,8:30p,Detroit Pistons,102,Boston Celtics,106,Box Score,,18624,
Thu May 29 2008,9:00p,San Antonio Spurs,92,Los Angeles Lakers,100,Box Score,,18997,
Fri May 30 2008,8:30p,Boston Celtics,89,Detroit Pistons,81,Box Score,,22076,
