Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Nov 12 2013,7:30p,Milwaukee Bucks,95,Miami Heat,118,Box Score,,19600,
Tue Nov 12 2013,8:30p,Washington Wizards,95,Dallas Mavericks,105,Box Score,,19627,
Tue Nov 12 2013,10:30p,Detroit Pistons,95,Golden State Warriors,113,Box Score,,19596,
Tue Nov 12 2013,10:30p,New Orleans Pelicans,95,Los Angeles Lakers,116,Box Score,,18426,
Wed Nov 13 2013,7:00p,Milwaukee Bucks,91,Orlando Magic,94,Box Score,,13588,
Wed Nov 13 2013,7:00p,Houston Rockets,117,Philadelphia 76ers,123,Box Score,OT,11671,
Wed Nov 13 2013,7:30p,Charlotte Bobcats,89,Boston Celtics,83,Box Score,,17032,
Wed Nov 13 2013,8:00p,New York Knicks,95,Atlanta Hawks,91,Box Score,,15057,
Wed Nov 13 2013,8:00p,Toronto Raptors,103,Memphis Grizzlies,87,Box Score,,15971,
Wed Nov 13 2013,8:00p,Cleveland Cavaliers,95,Minnesota Timberwolves,124,Box Score,,14978,
Wed Nov 13 2013,8:30p,Washington Wizards,79,San Antonio Spurs,92,Box Score,,18581,
Wed Nov 13 2013,9:00p,Los Angeles Lakers,99,Denver Nuggets,111,Box Score,,17824,
Wed Nov 13 2013,9:00p,New Orleans Pelicans,105,Utah Jazz,111,Box Score,,16717,
Wed Nov 13 2013,10:00p,Phoenix Suns,89,Portland Trail Blazers,90,Box Score,,19537,
Wed Nov 13 2013,10:00p,Brooklyn Nets,86,Sacramento Kings,107,Box Score,,15122,
Wed Nov 13 2013,10:30p,Oklahoma City Thunder,103,Los Angeles Clippers,111,Box Score,,19273,
Thu Nov 14 2013,8:00p,Houston Rockets,109,New York Knicks,106,Box Score,,19812,
Thu Nov 14 2013,10:30p,Oklahoma City Thunder,115,Golden State Warriors,116,Box Score,,19596,
Fri Nov 15 2013,7:00p,Milwaukee Bucks,77,Indiana Pacers,104,Box Score,,16202,
Fri Nov 15 2013,7:00p,Chicago Bulls,96,Toronto Raptors,80,Box Score,,19800,
Fri Nov 15 2013,7:30p,Philadelphia 76ers,103,Atlanta Hawks,113,Box Score,,12070,
Fri Nov 15 2013,7:30p,Portland Trail Blazers,109,Boston Celtics,96,Box Score,,18624,
Fri Nov 15 2013,7:30p,Charlotte Bobcats,86,Cleveland Cavaliers,80,Box Score,,18679,
Fri Nov 15 2013,7:30p,Dallas Mavericks,104,Miami Heat,110,Box Score,,19772,
Fri Nov 15 2013,8:00p,Minnesota Timberwolves,113,Denver Nuggets,117,Box Score,,17142,
Fri Nov 15 2013,9:00p,Brooklyn Nets,100,Phoenix Suns,98,Box Score,OT,15984,
